Input Type,n,Trial,Algorithm,Time,Comparisons,Swaps/Data Movements,Recursive Calls,Max Recursion Depth,Peak Memory Bytes,Constant c
random,900,8,Merge Sort,0.026680000009946525,7706,8876,1799,11,24304,3.020695476889865e-06
random,900,8,Quick Sort,0.026109699974767864,9454,4029,1213,21,9304,2.956126408820447e-06
random,900,9,Heap Sort,0.04719529999420047,14878,8028,8478,10,7988,5.343426880427028e-06
random,900,9,Merge Sort,0.031102299923077226,7677,8876,1799,11,24304,3.521385931914761e-06
random,900,9,Quick Sort,0.023602599976584315,8926,4015,1199,23,9240,2.6722738742702112e-06
random,900,10,Heap Sort,0.05388160003349185,14913,8056,8506,10,7988,6.100446231187384e-06
random,900,10,Merge Sort,0.02972949994727969,7697,8876,1799,11,24304,3.3659582454072586e-06
random,900,10,Quick Sort,0.023977499920874834,9452,4503,1207,21,9112,2.7147198474929415e-06
random,1000,1,Heap Sort,0.057783400057815015,16857,9075,9575,10,8788,5.7981788896180475e-06
random,1000,1,Merge Sort,0.027767700026743114,8706,9976,1999,11,27152,2.7863035395497364e-06
random,1000,1,Quick Sort,0.04204960004426539,12391,5985,1331,22,158254,4.219396972999118e-06
random,1000,2,Heap Sort,0.05915759992785752,16785,9036,9536,10,8788,5.936070683258161e-06
random,1000,2,Merge Sort,0.03143370000179857,8718,9976,1999,11,27152,3.154162191748103e-06
random,1000,2,Quick Sort,0.0324096999829635,10657,4302,1333,24,10296,3.2520972817808114e-06
random,1000,3,Heap Sort,0.05849480000324547,16851,9058,9558,10,8788,5.869563130447477e-06
random,1000,3,Merge Sort,0.031548399943858385,8684,9976,1999,11,27152,3.1656715661017443e-06
random,1000,3,Quick Sort,0.029099399922415614,10480,4353,1331,22,9976,2.9199307441564088e-06
random,1000,4,Heap Sort,0.058421799913048744,16817,9095,9595,10,8788,5.862238058169013e-06
random,1000,4,Merge Sort,0.02936260006390512,8718,9976,1999,11,27152,2.946341123306857e-06
random,1000,4,Quick Sort,0.039567100000567734,10270,4253,1351,19,9976,3.970294647202405e-06
random,1000,5,Heap Sort,0.05584149993956089,16820,9049,9549,10,8788,5.60332216155874e-06
random,1000,5,Merge Sort,0.038198000052943826,8708,9976,1999,11,27152,3.832914596770144e-06
random,1000,5,Quick Sort,0.03127769997809082,11207,5360,1337,23,9912,3.1385086295946616e-06
random,1000,6,Heap Sort,0.053897300036624074,16847,9091,9591,10,8788,5.4082346654417455e-06
random,1000,6,Merge Sort,0.03376100002788007,8736,9976,1999,11,27152,3.3876912306681353e-06
random,1000,6,Quick Sort,0.030801999964751303,10806,5605,1309,21,9976,3.090775305277011e-06
random,1000,7,Heap Sort,0.05443000001832843,16834,9080,9580,10,8788,5.461687556502634e-06
random,1000,7,Merge Sort,0.0327444999711588,8711,9976,1999,11,27152,3.2856922281123885e-06
