Input Type,n,Algorithm,Avg_Time,Min_Time,Max_Time,Avg_Comparisons,Avg_Swaps_Data_Movements,Avg_Recursive_Calls,Avg_Max_Recursion_Depth,Avg_Peak_Memory_Bytes,Avg_Constant_c
random,200,Quick Sort,0.0034947600215673447,0.002319499966688454,0.0067483000457286835,1585.4,691.3,263.8,16.2,2384.0,2.2859927861033847e-06
random,300,Heap Sort,0.01347905999282375,0.010472900001332164,0.01633899996522814,4024.1,2208.7,2358.7,9.0,17920.6,5.4601032865109335e-06
random,300,Merge Sort,0.009171659988351167,0.00656929996330291,0.012771499925293028,2097.5,2488.0,599.0,10.0,9440.0,3.7152598825006102e-06
random,300,Quick Sort,0.005544649984221906,0.004397199954837561,0.007055499940179288,2568.3,1097.5,400.6,17.3,3787.2,2.2460291457654238e-06
random,400,Heap Sort,0.01843557000393048,0.016822700039483607,0.02504619990941137,5701.9,3111.0,3311.0,9.0,18644.0,5.33198655761386e-06
random,400,Merge Sort,0.012472470034845173,0.009448600001633167,0.015101600089110434,2955.9,3488.0,799.0,10.0,11632.8,3.607322287938894e-06
random,400,Quick Sort,0.009453859995119274,0.008212000015191734,0.010553799918852746,3750.3,1655.8,537.8,18.9,19645.5,2.7342715414165338e-06
random,500,Heap Sort,0.02543966001830995,0.021309800096787512,0.030527499970048666,7421.8,4040.7,4290.7,9.0,19433.6,5.6748320527474635e-06
random,500,Merge Sort,0.015406430000439286,0.013329699984751642,0.01792590005788952,3854.9,4488.0,999.0,10.0,14252.8,3.436716635441545e-06
random,500,Quick Sort,0.014067740004975349,0.011703800060786307,0.018799200071953237,4763.5,2144.9,670.6,19.3,5833.6,3.138094684932641e-06
random,600,Heap Sort,0.03420357997529209,0.029311399906873703,0.04887059994507581,9259.8,5021.5,5321.5,10.0,20373.5,6.176951626993527e-06
random,600,Merge Sort,0.0203751299995929,0.017224600072950125,0.024479199899360538,4793.1,5576.0,1199.0,11.0,17136.0,3.6796204517803618e-06
random,600,Quick Sort,0.017175889993086457,0.014128800015896559,0.021753399982117116,6018.2,2797.0,801.0,19.9,6641.6,3.101857808875494e-06
random,700,Heap Sort,0.040133860008791086,0.034957599942572415,0.04791379999369383,11110.3,6010.4,6360.4,10.0,21109.6,6.066321559050321e-06
random,700,Merge Sort,0.023238280008081348,0.02112920000217855,0.026824300060980022,5743.5,6676.0,1399.0,11.0,19344.0,3.5125173351726716e-06
random,700,Quick Sort,0.023498739989008754,0.018812199938111007,0.03344009991269559,6972.2,3202.7,937.2,19.9,22613.6,3.551886436405987e-06
random,800,Heap Sort,0.04619248997187242,0.04083339998032898,0.05382759997155517,13029.1,7036.3,7436.3,10.0,7147.2,5.98729505382528e-06
random,800,Merge Sort,0.02628751000156626,0.021132700028829277,0.037171100033447146,6720.3,7776.0,1599.0,11.0,21712.0,3.4072871738587596e-06
random,800,Quick Sort,0.02348468001000583,0.02077059994917363,0.026891699992120266,8525.1,3908.3,1064.0,20.8,23165.6,3.043994998974889e-06
random,900,Heap Sort,0.05098938000155613,0.04484840005170554,0.05830109992530197,14915.2,8057.5,8507.5,10.0,7963.2,5.772990610296025e-06
random,900,Merge Sort,0.02963350999634713,0.024714099941775203,0.036593400058336556,7702.2,8876.0,1799.0,11.0,39051.1,3.355090313979194e-06
random,900,Quick Sort,0.026856789982412012,0.023602599976584315,0.033160599996335804,9709.0,4319.2,1198.8,21.9,24322.4,3.0407115439808277e-06
random,1000,Heap Sort,0.05653869999805465,0.05380979995243251,0.05915759992785752,16838.6,9071.7,9571.7,10.0,8788.0,5.673281538420508e-06
random,1000,Merge Sort,0.03205271001206711,0.027767700026743114,0.038198000052943826,8713.9,9976.0,1999.0,11.0,27152.0,3.2162757186504695e-06
random,1000,Quick Sort,0.03337603998370468,0.02743339992593974,0.04204960004426539,11041.0,5202.2,1332.6,22.1,24906.2,3.3490630571918284e-06
reverse_sorted,100,Heap Sort,0.002229659992735833,0.0016299999551847577,0.003078000037930906,944.0,516.0,566.0,7.0,1312.8,3.3559726897271008e-06
reverse_sorted,100,Merge Sort,0.0018339799949899315,0.0013341999147087336,0.0033817000221461058,356.0,672.0,199.0,8.0,4097.6,2.760414949698237e-06
reverse_sorted,100,Quick Sort,0.006562660005874932,0.005301199969835579,0.009205500013194978,4950.0,50.0,199.0,100.0,1526.4,9.877787565563568e-06
reverse_sorted,200,Heap Sort,0.006852059997618199,0.005173700046725571,0.011099299998022616,2275.0,1206.0,1306.0,8.0,2186.4,4.482070193042276e-06
reverse_sorted,200,Merge Sort,0.004859010013751686,0.003854300011880696,0.00904819997958839,812.0,1544.0,399.0,9.0,6760.0,3.1783761318348978e-06
reverse_sorted,200,Quick Sort,0.028850329981651157,0.026180999935604632,0.031453299918212,19900.0,100.0,399.0,200.0,17203.0,1.8871580826078717e-05
reverse_sorted,300,Heap Sort,0.011179960006847978,0.009459100081585348,0.01483690005261451,3759.0,1994.0,2144.0,9.0,3124.0,4.5287828979877775e-06
reverse_sorted,300,Merge Sort,0.007588739972561598,0.005960899987258017,0.010525800054892898,1308.0,2488.0,599.0,10.0,9440.0,3.074049977277394e-06
reverse_sorted,300,Quick Sort,0.07741358997300267,0.071920600021258,0.0868796999566257,44850.0,150.0,599.0,300.0,22063.1,3.135872955957165e-05
reverse_sorted,400,Heap Sort,0.01628563997801393,0.014286399935372174,0.020827900036238134,5352.0,2822.0,3022.0,9.0,3924.0,4.710177847845004e-06
reverse_sorted,400,Merge Sort,0.010002080013509839,0.008376499987207353,0.011716300039552152,1824.0,3488.0,799.0,10.0,11672.0,2.8928292517585582e-06
reverse_sorted,400,Quick Sort,0.19694554997840896,0.1862470000050962,0.209532699896954,79800.0,200.0,799.0,400.0,47457.4,5.696113680471288e-05
reverse_sorted,500,Heap Sort,0.023948589980136603,0.020339999930001795,0.03166310000233352,7010.0,3676.0,3926.0,9.0,4710.4,5.342218643628498e-06
reverse_sorted,500,Merge Sort,0.013748559996020048,0.011119099915958941,0.019988800049759448,2272.0,4488.0,999.0,10.0,14272.0,3.066895111349028e-06
reverse_sorted,500,Quick Sort,0.4385221700067632,0.42292070004623383,0.47329049999825656,124750.0,250.0,999.0,500.0,58058.2,9.782126272142195e-05
reverse_sorted,600,Heap Sort,0.028029020014218985,0.025721199926920235,0.03591990005224943,8718.0,4572.0,4872.0,10.0,5574.4,5.061864895573277e-06
reverse_sorted,600,Merge Sort,0.01970436001429334,0.015301499981433153,0.03642929997295141,2916.0,5576.0,1199.0,11.0,17136.0,3.5584836071860942e-06
reverse_sorted,600,Quick Sort,0.8673969499883242,0.8085444000316784,0.9709425999317318,179700.0,300.0,1199.0,600.0,68473.8,0.0001566464389210138
reverse_sorted,700,Heap Sort,0.03457740000449121,0.03010179998818785,0.04228829999919981,10512.0,5498.0,5848.0,10.0,21241.6,5.226450360299396e-06
reverse_sorted,700,Merge Sort,0.01982484998879954,0.01800320006441325,0.022365599987097085,3504.0,6676.0,1399.0,11.0,19344.0,2.996569850636098e-06
reverse_sorted,700,Quick Sort,1.4299276699894108,1.335376700037159,1.5833853000076488,244650.0,350.0,1399.0,700.0,63963.2,0.00021613672471173414
reverse_sorted,800,Heap Sort,0.038528329983819276,0.035398000036366284,0.04219129995908588,12293.0,6442.0,6842.0,10.0,7174.4,4.993895754152581e-06
reverse_sorted,800,Merge Sort,0.02362020998261869,0.02132159995380789,0.027651000069454312,4048.0,7776.0,1599.0,11.0,21712.0,3.061561879114153e-06
reverse_sorted,800,Quick Sort,2.072978830023203,1.9992617000825703,2.231616700068116,319600.0,400.0,1599.0,800.0,104277.7,0.00026869164020471915
reverse_sorted,900,Heap Sort,0.047100740019232035,0.04095900000538677,0.05511820001993328,14182.0,7414.0,7864.0,10.0,7974.4,5.3327208501206e-06
reverse_sorted,900,Merge Sort,0.02664640002185479,0.023874200065620244,0.028613400063477457,4572.0,8876.0,1799.0,11.0,24304.0,3.0168913040257562e-06
reverse_sorted,900,Quick Sort,3.124141180003062,2.8281058000866324,3.45765539992135,404550.0,450.0,1799.0,900.0,129527.2,0.00035371361049784083
reverse_sorted,1000,Heap Sort,0.05167348998365924,0.04604329995345324,0.05897789995651692,15965.0,8316.0,8816.0,10.0,8788.0,5.185090155241238e-06
reverse_sorted,1000,Merge Sort,0.03068402997450903,0.02719930000603199,0.037002200027927756,5044.0,9976.0,1999.0,11.0,27152.0,3.0789378033933073e-06
reverse_sorted,1000,Quick Sort,4.170680079981684,3.900768500054255,4.3644449999555945,499500.0,500.0,1999.0,1000.0,154649.5,0.0004184999354642464
sorted,100,Heap Sort,0.0029358399799093602,0.0020807000109925866,0.0038760999450460076,1081.0,640.0,690.0,7.0,1336.8,4.4188794821112875e-06
sorted,100,Merge Sort,0.0019053100142627955,0.0012490999652072787,0.005149399978108704,316.0,672.0,199.0,8.0,4090.4,2.8677773266603465e-06
